@SampleID:mock_viruses
@Version:Diamond+Megan
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	36.54312
2759	superkingdom	2759	Eukaryota	0.06685
10239	superkingdom	10239	Viruses	63.39003
4890	phylum	2759|4890	Eukaryota|Ascomycota	0.03043
1224	phylum	2|1224	Bacteria|Proteobacteria	8.02233
976	phylum	2|976	Bacteria|Bacteroidetes	20.30124
201174	phylum	2|201174	Bacteria|Actinobacteria	0.03039
1239	phylum	2|1239	Bacteria|Firmicutes	0.19398
2732412	phylum	10239|2732412	Viruses|Phixviricota	6.36807
2731618	phylum	10239|2731618	Viruses|Uroviricota	65.05356
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	0.12613
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	6.60081
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinomycetia	0.03229
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	11.49816
2732413	class	10239|2732412|2732413	Viruses|Phixviricota|Malgrandaviricetes	7.28537
2731619	class	10239|2731618|2731619	Viruses|Uroviricota|Caudoviricetes	74.42429
4891	class	2759|4890|4891	Eukaryota|Ascomycota|Saccharomycetes	0.03295
4892	order	2759|4890|4891|4892	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	0.05063
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	7.89279
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	0.06445
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	12.98515
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.09722
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.57745
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.04545
28883	order	10239|2731618|2731619|28883	Viruses|Uroviricota|Caudoviricetes|Caudovirales	67.09222
2732414	order	10239|2732412|2732413|2732414	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales	11.19464
641	family	2|1224|1236|135623|641	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae	0.09684
49546	family	2|976|117743|200644|49546	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	19.22795
543	family	2|1224|1236|91347|543	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.77981
10662	family	10239|2731618|2731619|28883|10662	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae	30.14486
10699	family	10239|2731618|2731619|28883|10699	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Siphoviridae	17.64175
10841	family	10239|2732412|2732413|2732414|10841	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae	8.82197
267888	family	2|1224|1236|135622|267888	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae	9.45047
10744	family	10239|2731618|2731619|28883|10744	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Podoviridae	13.66708
34365	family	2759|4890|4891|4892|34365	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycodaceae	0.07471
81852	family	2|1239|91061|186826|81852	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae	0.09456
1910954	genus	10239|2732412|2732413|2732414|10841|1910954	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Sinsheimervirus	6.04529
570	genus	2|1224|1236|91347|543|570	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella	0.37858
1910951	genus	10239|2732412|2732413|2732414|10841|1910951	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Alphatrevirus	12.26617
1350	genus	2|1239|91061|186826|81852|1350	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	0.22568
104264	genus	2|976|117743|200644|49546|104264	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Cellulophaga	29.39893
1918017	genus	10239|2731618|2731619|28883|10699|1918017	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Siphoviridae|Helsingorvirus	30.05439
53246	genus	2|1224|1236|135622|267888|53246	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas	17.63323
1918718	genus	10239|2731618|2731619|28883|10699|1918718	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Siphoviridae|Cbastvirus	2.16380
36034	genus	2759|4890|4891|4892|34365|36034	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycodaceae|Saccharomycodes	0.17830
2733126	genus	10239|2731618|2731619|28883|10662|2733126	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Qingdaovirus	0.31829
590	genus	2|1224|1236|91347|543|590	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella	1.33733
2608295	species	10239|2732412|2732413|2732414|10841|1910954|2608295	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Sinsheimervirus|Shigella phage SGF3	0.34887
1328030	species	10239|2731618|2731619|28883|10744||1328030	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Podoviridae||Cellulophaga phage phi13:2	0.17824
754075	species	10239|2731618|2731619|28883|10662||754075	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae||Vibrio phage 11895-B1	0.12300
2562234	species	10239|2732412|2732413|2732414|10841|1910951|2562234	Viruses|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Alphatrevirus|Escherichia phage Lilleven	0.54265
1654919	species	10239|2731618|2731619|28883|10662||1654919	Viruses|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae||Pseudoalteromonas phage H101	0.80140
